CustomerID,Name,Gender,Age,City,Signup_Date,Last_purchase_date,purchase_amount,feedback_score,email,Phone_number,Country
C49,Sneha,Male,22.0,Mumbai,,2024-03-15,2460.355,5.0,user48@mail.com,,Australia
C50,Sneha,Female,38.0,Delhi,,,3841.35,3.0,,9125908338,Unknown
,Unknown,Female,43.0,Kolkata,,,2460.355,1.0,,,Canada
C52,Unknown,Male,52.0,Unknown,,,2460.355,3.0,,9821999811,UK
53,Rahul,Male,24.0,Unknown,,2024-06-14,2460.355,3.0,user52@mail.com,9246223934,UK
C54,Sneha,Female,43.0,Mumbai,2021-07-25,,3147.13,3.0,,,Australia
55,Amit,Male,43.0,Pune,,,4911.38,3.0,,,Australia
56,Rahul,Female,43.0,Chennai,,,2460.355,1.0,,,USA
57,Ravi,Male,43.0,Hyderabad,,2021-07-28,2460.355,3.0,,,India
,Pooja,Female,43.0,Chennai,2023-09-24,,2460.355,3.0,,9208493774,Canada
C59,Simran,Female,43.0,Mumbai,,,2460.355,3.0,,,Canada
,Unknown,Male,57.0,Kolkata,,,4812.75,3.0,,,Unknown
61,Pooja,Female,59.0,Kolkata,,,2460.355,1.0,,,Canada
,Unknown,Male,43.0,Kolkata,2024-04-12,2026-01-21,2460.355,4.0,,,Australia
63,Pooja,Unknown,43.0,Ahmedabad,,,176.23,3.0,user62@mail.com,,Unknown
64,Ankit,Male,43.0,Ahmedabad,,,2460.355,3.0,user63@mail.com,,USA
65,Simran,Unknown,43.0,Delhi,,,940.07,1.0,,,USA
C66,Priya,Unknown,23.0,Ahmedabad,2025-08-25,,659.47,3.0,user65@mail.com,,USA
67,Simran,Male,43.0,Ahmedabad,,,2460.355,3.0,,9677889075,USA
C68,Unknown,Female,43.0,Mumbai,2020-12-30,,2460.355,3.0,,9450576722,India
69,Rahul,Male,43.0,Hyderabad,2022-05-09,2022-11-18,1019.16,3.0,,9828355744,Unknown
C70,Amit,Male,43.0,Delhi,2022-01-25,,2460.355,4.0,,,Canada
C71,Sneha,Male,43.0,Kolkata,2023-11-23,2023-06-09,2460.355,3.0,,,UK
C72,Sneha,Unknown,23.0,Mumbai,,2024-10-05,2460.355,3.0,,,Australia
73,Unknown,Female,43.0,Bangalore,2025-12-13,,2460.355,3.0,user72@mail.com,,Unknown
,Simran,Female,43.0,Bangalore,2023-09-22,2023-05-18,2460.355,3.0,user73@mail.com,,Canada
75,Unknown,Male,68.0,Mumbai,2021-04-01,,2460.355,3.0,,,UK
C76,Simran,Female,43.0,Hyderabad,,,1958.1,2.0,,,India
,Unknown,Unknown,43.0,Bangalore,2021-06-16,,2460.355,2.0,user76@mail.com,9610832582,UK
78,Amit,Unknown,43.0,Unknown,2024-06-20,,2267.95,3.0,,,Unknown
79,Kiran,Female,43.0,Unknown,2020-11-11,2022-03-28,2460.355,3.0,,,India
,Ankit,Unknown,43.0,Chennai,2021-12-11,,1517.55,1.0,user79@mail.com,,USA
,Rahul,Female,43.0,Delhi,,,2460.355,3.0,,,UK
82,Pooja,Male,43.0,Hyderabad,,,477.91,3.0,,,Australia
83,Unknown,Male,47.0,Bangalore,2025-11-22,,1105.17,3.0,,,Australia
,Priya,Female,43.0,Ahmedabad,,,3720.97,2.0,,,Canada
C85,Priya,Male,51.0,Delhi,,,2460.355,3.0,,,USA
86,Kiran,Female,43.0,Pune,,,2460.355,3.0,,,UK
87,Unknown,Male,43.0,Kolkata,2020-12-05,,2460.355,1.0,user86@mail.com,,Canada
88,Kiran,Male,43.0,Delhi,,,2460.355,3.0,,9697738597,Australia
89,Rahul,Unknown,43.0,Hyderabad,,,2460.355,3.0,user88@mail.com,,Unknown
,Ankit,Male,51.0,Hyderabad,,,2460.355,3.0,,,USA
91,Simran,Male,66.0,Unknown,,,2460.355,3.0,user90@mail.com,,USA
C92,Ankit,Unknown,43.0,Delhi,2025-07-21,,2589.13,3.0,,,UK
93,Ravi,Female,43.0,Pune,2023-12-05,,2460.355,3.0,,,India
,Unknown,Male,53.0,Kolkata,,,2460.355,3.0,user93@mail.com,9871388211,USA
C95,Amit,Male,43.0,Hyderabad,,,2460.355,3.0,,9387106416,Unknown
,Simran,Male,43.0,Unknown,2023-02-03,2020-10-12,2460.355,3.0,,,USA
C97,Simran,Male,43.0,Pune,,,2460.355,3.0,user96@mail.com,9762381262,Canada
C98,Kiran,Female,43.0,Unknown,,,2460.355,3.0,,,Unknown
99,Amit,Unknown,43.0,Bangalore,,,2460.355,5.0,,9486647874,India
C100,Priya,Male,43.0,Pune,,,2460.355,3.0,,,USA
C101,Neha,Unknown,43.0,Mumbai,,2022-02-20,2460.355,3.0,user100@mail.com,,India
102,Pooja,Unknown,43.0,Mumbai,2023-09-15,2022-05-10,2460.355,3.0,,,Canada
,Simran,Unknown,43.0,Mumbai,,,2460.355,3.0,,,UK
104,Unknown,Male,43.0,Unknown,2023-09-09,2022-05-22,2460.355,3.0,user103@mail.com,,UK
,Rahul,Unknown,43.0,Kolkata,2021-07-27,,2460.355,3.0,,,USA
106,Priya,Female,43.0,Delhi,2023-02-19,,2460.355,3.0,user105@mail.com,,Unknown
107,Rahul,Female,43.0,Ahmedabad,2021-04-26,2024-06-05,2460.355,3.0,,,Canada
,Pooja,Male,43.0,Ahmedabad,,,2460.355,3.0,,,Canada
C109,Ankit,Male,43.0,Unknown,,,2460.355,3.0,,,USA
110,Unknown,Unknown,43.0,Delhi,2021-10-25,2023-08-27,2460.355,1.0,,9168583214,USA
C111,Simran,Unknown,43.0,Bangalore,,,2460.355,3.0,user110@mail.com,,UK
C112,Simran,Male,43.0,Kolkata,2024-10-24,,2460.355,3.0,,,Australia
,Ravi,Unknown,43.0,Pune,2022-02-22,,2460.355,3.0,,,Unknown
C114,Unknown,Female,43.0,Unknown,2021-06-24,2024-07-22,1520.66,3.0,,,Unknown
115,Unknown,Unknown,43.0,Pune,2021-07-14,,2625.32,3.0,user114@mail.com,,Unknown
,Ravi,Male,43.0,Chennai,,,2460.355,2.0,,9985835755,Canada
,Pooja,Male,43.0,Kolkata,2024-07-07,2025-05-13,2460.355,3.0,,,Australia
118,Sneha,Male,43.0,Unknown,,,2460.355,3.0,,9686175993,Canada
C119,Kiran,Male,57.0,Delhi,2021-07-07,,2460.355,5.0,,,UK
120,Unknown,Unknown,43.0,Delhi,,,2460.355,5.0,,,USA
121,Unknown,Unknown,70.0,Hyderabad,,,2460.355,3.0,,9888717508,Canada
C122,Sneha,Female,43.0,Pune,,,2460.355,3.0,,,USA
,Ankit,Unknown,43.0,Chennai,,,2460.355,3.0,,,USA
124,Pooja,Male,43.0,Hyderabad,2024-05-11,,2460.355,3.0,,,Canada
C125,Unknown,Female,43.0,Kolkata,2024-06-08,,2460.355,3.0,user124@mail.com,,Canada
126,Unknown,Male,33.0,Hyderabad,,,2460.355,3.0,,,USA
,Unknown,Male,43.0,Delhi,2024-02-01,,2460.355,3.0,,,Australia
128,Ankit,Male,43.0,Pune,2024-03-07,,2460.355,3.0,user127@mail.com,,India
129,Ankit,Female,43.0,Hyderabad,,,384.1,3.0,,,USA
130,Ravi,Male,46.0,Ahmedabad,,,2460.355,3.0,,,USA
,Simran,Male,43.0,Ahmedabad,,,2460.355,3.0,,,India
132,Priya,Female,43.0,Ahmedabad,2021-06-12,,2460.355,3.0,,,India
133,Ankit,Female,43.0,Chennai,,2020-10-16,101.52,5.0,user132@mail.com,9652552199,Unknown
C134,Ankit,Female,43.0,Unknown,2025-11-02,2024-07-19,2460.355,3.0,,9804907196,Unknown
135,Neha,Unknown,21.0,Mumbai,2021-05-29,,3106.84,3.0,,,Australia
136,Ankit,Unknown,43.0,Delhi,,2025-01-04,177.15,3.0,,,Australia
137,Sneha,Female,39.0,Kolkata,2022-11-11,,2460.355,3.0,,,Australia
138,Ankit,Male,43.0,Ahmedabad,2021-06-22,2020-12-01,2460.355,5.0,,,USA
139,Amit,Female,43.0,Hyderabad,2024-07-23,2021-01-12,2460.355,3.0,,,USA
,Ravi,Male,43.0,Pune,,,4302.36,3.0,,,Unknown
C141,Neha,Unknown,29.0,Kolkata,,,2460.355,3.0,,,USA
C142,Amit,Male,67.0,Kolkata,2024-11-29,,3979.83,3.0,user141@mail.com,,USA
C143,Rahul,Male,43.0,Delhi,2025-05-13,,2460.355,3.0,,,Australia
C144,Priya,Male,43.0,Unknown,2025-03-13,,2460.355,3.0,,,UK
C145,Unknown,Female,43.0,Unknown,,2025-12-05,2460.355,3.0,,,Unknown
146,Unknown,Male,43.0,Pune,2021-05-05,,819.86,1.0,,,USA
,Pooja,Female,43.0,Chennai,,2021-01-25,4938.36,3.0,,,Australia
148,Amit,Unknown,68.0,Chennai,,,2460.355,3.0,,9697055735,Canada
C149,Rahul,Female,38.0,Pune,2025-03-16,2026-01-20,2460.355,2.0,user148@mail.com,,India
150,Amit,Unknown,43.0,Ahmedabad,2025-11-29,,2460.355,4.0,,9843663784,Australia
,Kiran,Female,28.0,Unknown,,,2460.355,3.0,,9234375714,Canada
,Simran,Female,43.0,Hyderabad,2021-07-20,,2460.355,3.0,,,Unknown
153,Pooja,Female,43.0,Bangalore,,2021-09-14,2460.355,1.0,,9771638160,Canada
154,Amit,Male,43.0,Bangalore,,,2460.355,3.0,,9720155538,USA
155,Neha,Male,43.0,Bangalore,,2025-12-21,2460.355,3.0,,,UK
C156,Unknown,Male,35.0,Hyderabad,2020-10-11,,2102.22,3.0,,,India
,Ravi,Male,35.0,Unknown,2021-05-15,,2460.355,3.0,,,India
158,Pooja,Unknown,43.0,Kolkata,,,3902.94,3.0,user157@mail.com,,Australia
C159,Rahul,Female,43.0,Bangalore,2024-10-11,,502.02,3.0,,,India
,Unknown,Unknown,43.0,Mumbai,2021-03-27,2020-10-12,2460.355,3.0,user159@mail.com,,USA
C161,Pooja,Male,35.0,Unknown,2023-11-18,,2460.355,2.0,,,India
,Pooja,Female,43.0,Kolkata,2021-08-05,,2460.355,3.0,,9893390866,USA
163,Amit,Unknown,43.0,Chennai,,,2460.355,3.0,,9121774277,Canada
C164,Amit,Female,43.0,Pune,2025-01-18,,2460.355,3.0,,,USA
165,Pooja,Unknown,43.0,Kolkata,,2024-02-09,2460.355,3.0,,9313537890,Unknown
C166,Rahul,Unknown,43.0,Mumbai,,,1368.23,3.0,,,UK
,Unknown,Male,26.0,Chennai,2021-04-28,,2460.355,3.0,user166@mail.com,,USA
,Ravi,Male,43.0,Pune,,,2460.355,3.0,user167@mail.com,,USA
C169,Unknown,Unknown,43.0,Hyderabad,2022-08-23,,2460.355,5.0,user168@mail.com,,Unknown
,Unknown,Female,43.0,Chennai,,,2460.355,3.0,,,India
C171,Kiran,Unknown,43.0,Hyderabad,2022-02-24,2024-06-04,2460.355,5.0,,,India
C172,Neha,Female,43.0,Bangalore,2023-12-24,,2460.355,3.0,,9846259798,Canada
C173,Simran,Female,43.0,Unknown,2023-06-02,,2460.355,2.0,,,UK
C174,Unknown,Female,22.0,Chennai,2024-12-06,,2460.355,3.0,,,Australia
175,Unknown,Male,43.0,Kolkata,,,2460.355,3.0,,9587234990,Canada
176,Kiran,Female,43.0,Chennai,,2022-04-26,2460.355,3.0,,9718555066,India
C177,Ankit,Unknown,43.0,Pune,,2024-03-26,2460.355,3.0,,9980832523,Canada
178,Priya,Male,43.0,Bangalore,2022-03-24,,4177.93,3.0,,,USA
C179,Neha,Unknown,43.0,Delhi,,,3779.89,3.0,,9113550160,Unknown
,Ankit,Male,43.0,Ahmedabad,,2023-06-10,2578.36,3.0,user179@mail.com,,USA
181,Unknown,Female,43.0,Unknown,2022-06-10,2023-12-06,2460.355,3.0,user180@mail.com,,India
182,Unknown,Unknown,43.0,Unknown,,,2460.355,3.0,,,USA
C183,Pooja,Male,43.0,Delhi,,,2460.355,3.0,,,India
,Simran,Male,43.0,Delhi,,,2530.03,3.0,,,Canada
C185,Unknown,Male,37.0,Hyderabad,,,2460.355,2.0,,,UK
,Ravi,Male,43.0,Bangalore,,,2460.355,3.0,user185@mail.com,,Australia
187,Sneha,Female,43.0,Pune,2020-12-07,2025-03-08,3124.58,3.0,,9972896838,India
C188,Ankit,Unknown,43.0,Unknown,,2023-04-13,2460.355,3.0,,9237430673,Unknown
189,Ravi,Unknown,43.0,Unknown,2025-10-02,,2460.355,3.0,,,Australia
,Sneha,Male,43.0,Hyderabad,,,2460.355,3.0,,9987123952,USA
191,Rahul,Male,44.0,Unknown,2024-05-20,2023-09-08,2460.355,3.0,,9299298806,Canada
192,Unknown,Female,18.0,Kolkata,2024-09-27,,3740.72,3.0,,,Australia
C193,Rahul,Unknown,43.0,Delhi,2023-10-22,,2460.355,1.0,,,India
C194,Amit,Male,43.0,Delhi,2023-03-12,,2460.355,3.0,,9714934659,Unknown
195,Kiran,Female,43.0,Unknown,2023-01-23,,2460.355,3.0,,,Canada
196,Ravi,Unknown,58.0,Hyderabad,2023-01-11,,2460.355,1.0,,,USA
,Pooja,Unknown,62.0,Unknown,2021-10-25,2023-01-29,1644.7,3.0,user196@mail.com,,India
C199,Simran,Female,43.0,Delhi,2021-05-24,,2460.355,3.0,,,UK
C200,Simran,Male,22.0,Pune,,,2460.355,4.0,user199@mail.com,,Unknown
201,Kiran,Male,43.0,Mumbai,,2022-05-04,2647.56,3.0,user200@mail.com,,India
,Ankit,Male,43.0,Kolkata,,,709.67,1.0,,,UK
C203,Ankit,Male,43.0,Hyderabad,,2024-02-07,3829.56,3.0,,,Unknown
,Sneha,Male,43.0,Hyderabad,,,2460.355,3.0,user203@mail.com,,USA
205,Unknown,Female,43.0,Mumbai,2025-12-21,,2460.355,5.0,user204@mail.com,9791865466,Unknown
206,Priya,Male,43.0,Pune,,,2460.355,2.0,,,UK
207,Simran,Male,43.0,Kolkata,2024-08-24,,2460.355,3.0,,,Australia
208,Sneha,Unknown,70.0,Ahmedabad,2023-02-16,2021-11-30,2460.355,3.0,,,Canada
209,Pooja,Female,28.0,Chennai,,2021-07-26,2460.355,3.0,,9390664690,Unknown
210,Unknown,Female,43.0,Kolkata,,,2460.355,3.0,,,USA
C211,Sneha,Female,43.0,Hyderabad,2023-01-27,,2460.355,3.0,user210@mail.com,9276155320,Unknown
,Ankit,Male,68.0,Unknown,,,2460.355,3.0,,9846225860,Australia
213,Unknown,Male,43.0,Mumbai,,,2460.355,3.0,,9505365883,Unknown
214,Kiran,Male,43.0,Bangalore,2020-11-03,,2460.355,3.0,,,Australia
C215,Unknown,Male,43.0,Hyderabad,,2025-05-28,2460.355,3.0,user214@mail.com,9401632753,Australia
,Unknown,Male,43.0,Ahmedabad,2022-02-19,2025-06-22,2460.355,3.0,user215@mail.com,,USA
217,Pooja,Female,43.0,Pune,2020-08-20,,3742.84,3.0,,,Canada
,Ankit,Female,43.0,Ahmedabad,2023-11-08,,2460.355,3.0,user217@mail.com,9811991281,Australia
C219,Unknown,Female,30.0,Ahmedabad,2021-08-04,2021-01-14,2460.355,2.0,,9917761214,Unknown
220,Amit,Male,65.0,Ahmedabad,,,909.91,3.0,,,Unknown
,Priya,Male,43.0,Ahmedabad,2024-09-13,,2460.355,3.0,,,Canada
222,Ravi,Male,43.0,Mumbai,2021-04-26,,3141.85,3.0,,,Unknown
223,Kiran,Male,43.0,Delhi,,2024-08-11,4163.86,1.0,,,India
,Unknown,Female,18.0,Kolkata,,2024-05-24,4036.77,3.0,,9977208316,Unknown
C225,Ravi,Male,43.0,Bangalore,2025-03-03,2023-12-12,2460.355,3.0,,,UK
226,Amit,Male,43.0,Unknown,,2021-02-16,1994.89,3.0,,,Australia
,Kiran,Female,43.0,Pune,2020-08-09,,2460.355,3.0,,,Canada
C228,Pooja,Male,45.0,Kolkata,2024-10-07,2024-06-14,2460.355,3.0,,9886044184,UK
C229,Simran,Female,43.0,Delhi,2023-01-27,,2460.355,3.0,,,Unknown
,Amit,Female,43.0,Mumbai,,2021-05-15,2460.355,3.0,user229@mail.com,,UK
231,Unknown,Male,50.0,Delhi,,,2460.355,3.0,user230@mail.com,,USA
232,Unknown,Female,43.0,Bangalore,2020-12-28,,2460.355,4.0,,,Australia
233,Neha,Male,31.0,Mumbai,2023-03-28,2023-12-26,2460.355,1.0,,,USA
234,Unknown,Female,43.0,Bangalore,2025-12-28,,2460.355,4.0,user233@mail.com,,Canada
235,Ravi,Male,43.0,Bangalore,,2022-03-05,2460.355,3.0,user234@mail.com,9292915130,Australia
236,Ravi,Female,43.0,Bangalore,,,1413.4,2.0,,,USA
237,Ankit,Male,43.0,Mumbai,2025-06-25,,2460.355,4.0,,,USA
,Unknown,Male,43.0,Unknown,,,1385.67,3.0,,9707836199,Canada
,Unknown,Unknown,43.0,Pune,,,2460.355,3.0,,,India
240,Sneha,Male,64.0,Mumbai,,2024-03-27,2460.355,3.0,,,USA
241,Unknown,Male,43.0,Ahmedabad,,,2460.355,3.0,,,UK
242,Pooja,Male,43.0,Unknown,,2024-02-29,2460.355,5.0,,,UK
243,Neha,Female,43.0,Bangalore,2021-02-02,2025-07-27,4995.66,1.0,,,Unknown
244,Kiran,Male,43.0,Ahmedabad,2022-08-06,,2460.355,3.0,,,Australia
245,Amit,Unknown,43.0,Bangalore,2021-12-13,,2460.355,3.0,,,Canada
C246,Ankit,Female,43.0,Unknown,2023-09-12,2022-12-26,2460.355,3.0,,,Canada
C247,Ankit,Female,43.0,Pune,2022-12-15,,2460.355,3.0,,9167697380,India
C248,Unknown,Male,43.0,Delhi,,2024-03-04,2460.355,3.0,,,India
,Kiran,Female,43.0,Kolkata,,,2460.355,3.0,,,Unknown
250,Rahul,Female,43.0,Mumbai,2021-08-14,,4031.03,3.0,,9822824862,Australia
251,Ravi,Female,58.0,Mumbai,,2024-05-06,2460.355,3.0,,,India
C252,Kiran,Unknown,43.0,Delhi,2024-01-16,,2460.355,3.0,,,USA
,Kiran,Female,43.0,Ahmedabad,2023-05-22,,4376.34,3.0,,9358695410,India
254,Simran,Female,43.0,Unknown,,,3820.96,3.0,,9285061651,USA
255,Ravi,Female,43.0,Mumbai,2023-06-08,2022-02-10,2460.355,3.0,,,Australia
,Pooja,Male,43.0,Unknown,2024-03-15,2021-05-02,712.93,3.0,,,Unknown
,Unknown,Female,43.0,Delhi,,,2460.355,3.0,,9868484957,Unknown
258,Sneha,Female,47.0,Bangalore,,,2460.355,3.0,,,UK
259,Ravi,Female,43.0,Hyderabad,,,2460.355,3.0,,,USA
260,Neha,Male,43.0,Pune,,,2460.355,3.0,user259@mail.com,,UK
261,Sneha,Male,43.0,Unknown,2023-04-10,2022-08-17,2823.08,3.0,,,USA
C262,Neha,Unknown,43.0,Unknown,2021-04-11,,1181.7,3.0,,,Australia
,Priya,Male,43.0,Delhi,,2021-09-23,2531.66,3.0,,,India
,Neha,Female,69.0,Pune,,,2460.355,3.0,,,Canada
265,Ankit,Female,43.0,Ahmedabad,2021-03-05,,2460.355,1.0,user264@mail.com,,UK
266,Neha,Male,43.0,Pune,2022-11-14,,2460.355,3.0,,,USA
267,Ravi,Unknown,43.0,Pune,,,2460.355,3.0,,,Australia
268,Kiran,Male,43.0,Chennai,2025-11-18,,2460.355,3.0,,,India
C269,Unknown,Female,43.0,Delhi,2023-04-04,,2460.355,3.0,,,Canada
270,Unknown,Male,43.0,Pune,,,2460.355,3.0,,,USA
,Sneha,Unknown,43.0,Bangalore,2023-02-27,2022-06-30,2460.355,3.0,,,Unknown
272,Unknown,Male,43.0,Kolkata,2021-10-04,2023-07-16,2460.355,5.0,,,UK
273,Simran,Unknown,20.0,Hyderabad,,2023-11-18,2238.05,3.0,,,India
274,Unknown,Female,43.0,Mumbai,2025-05-27,2021-03-09,2601.0,2.0,user273@mail.com,,Australia
,Neha,Female,43.0,Ahmedabad,2025-02-16,,993.15,2.0,,,India
276,Pooja,Unknown,43.0,Pune,2024-12-21,2025-03-07,2368.71,3.0,,,USA
C277,Rahul,Unknown,37.0,Delhi,2022-01-25,,2460.355,3.0,user276@mail.com,9324807983,UK
C278,Pooja,Male,43.0,Unknown,,,902.19,3.0,,9887534385,India
279,Pooja,Male,43.0,Kolkata,,,2460.355,3.0,,,USA
280,Neha,Male,43.0,Ahmedabad,,,2128.85,5.0,,,Canada
C281,Rahul,Female,43.0,Chennai,2024-11-05,,2460.355,4.0,user280@mail.com,,Canada
C282,Kiran,Female,43.0,Bangalore,,2020-12-25,4500.88,3.0,user281@mail.com,9945824020,UK
283,Unknown,Male,51.0,Pune,2021-11-01,,2460.355,3.0,,,Unknown
C284,Priya,Unknown,43.0,Ahmedabad,,,2460.355,4.0,,,Canada
285,Amit,Unknown,43.0,Delhi,2023-10-13,,2667.21,3.0,,,UK
286,Priya,Female,43.0,Delhi,2025-02-24,,2460.355,3.0,,9741682924,Australia
,Ravi,Male,43.0,Pune,,,2460.355,3.0,,,Australia
,Simran,Unknown,43.0,Pune,,2021-01-14,4204.21,3.0,user287@mail.com,,Australia
C289,Amit,Female,43.0,Pune,2024-07-27,,2460.355,1.0,,9451561433,Unknown
,Simran,Unknown,40.0,Hyderabad,2025-02-23,,2460.355,3.0,user289@mail.com,,Australia
291,Unknown,Male,43.0,Hyderabad,,,4281.27,3.0,,,USA
292,Simran,Female,43.0,Unknown,,,3142.21,3.0,,9569213258,Unknown
,Ankit,Female,43.0,Pune,,2023-04-16,2460.355,2.0,,,India
294,Rahul,Male,43.0,Chennai,2022-12-20,,2460.355,3.0,,,UK
295,Unknown,Male,43.0,Ahmedabad,,,2460.355,3.0,user294@mail.com,,Unknown
,Simran,Unknown,43.0,Delhi,2022-07-11,2025-03-01,2901.09,3.0,,9945374121,UK
297,Sneha,Unknown,26.0,Ahmedabad,,2025-03-06,2460.355,5.0,,,USA
C298,Simran,Male,61.0,Delhi,2024-02-27,2024-05-29,2460.355,3.0,,,USA
C299,Priya,Female,43.0,Pune,2025-07-26,,280.11,4.0,,,USA
,Pooja,Unknown,43.0,Kolkata,2025-12-02,,2460.355,3.0,user299@mail.com,,USA
301,Amit,Male,43.0,Chennai,,,1591.55,5.0,,,Australia
302,Amit,Unknown,41.0,Hyderabad,,,1593.53,3.0,,9533287625,USA
303,Amit,Female,52.0,Kolkata,2024-07-07,,2460.355,3.0,,,USA
304,Ankit,Female,64.0,Chennai,2024-09-13,,2460.355,3.0,,,India
305,Kiran,Male,43.0,Chennai,2025-08-04,,2460.355,3.0,,,Unknown
,Kiran,Female,70.0,Bangalore,2023-11-08,,2460.355,2.0,,,Unknown
307,Ankit,Male,43.0,Chennai,2022-12-26,,2460.355,3.0,user306@mail.com,,UK
308,Amit,Male,43.0,Ahmedabad,,,2460.355,1.0,,,USA
C309,Unknown,Male,43.0,Delhi,,,2403.96,3.0,,,USA
310,Unknown,Male,43.0,Ahmedabad,2023-02-26,,2460.355,3.0,user309@mail.com,,India
C311,Ravi,Male,43.0,Mumbai,,,2460.355,2.0,,,India
,Priya,Male,28.0,Chennai,2021-10-16,2022-04-09,2460.355,3.0,,,Canada
,Neha,Unknown,43.0,Kolkata,,,2460.355,3.0,,9612916888,India
314,Simran,Male,43.0,Mumbai,,,2460.355,3.0,user313@mail.com,,USA
,Priya,Male,43.0,Unknown,,,174.48,3.0,,9234182935,Canada
C316,Sneha,Male,43.0,Chennai,,,2460.355,5.0,,,Canada
317,Kiran,Female,43.0,Chennai,,,1677.55,3.0,,,USA
C318,Ravi,Male,26.0,Mumbai,,2022-04-04,2460.355,3.0,,,Australia
319,Priya,Unknown,43.0,Unknown,,,3555.67,3.0,,9138046997,Unknown
